Compound_time_dose,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,meanID,ref_meanID,Probe_ID,GeneSymbol,ProbeNr,Entrez_ID,CELL_ID,TREATMENT,COMPOUND,COMPOUND_ABBR,DOSE,DOSE_LEVEL,TIME,TIMEPOINT,GeneSymbol_new,Entrez_ID_new
CSP_48hr_50uM,112.2441,-0.6174896,0.3595049,-1.717611,0.0858676,0.131348,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABHD18,ABHD18,,80167.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABHD18,80167.0
CSP_48hr_50uM,15.9208,0.7696274999999999,0.3828984,2.010004,0.04443074,0.07398525,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABHD2,ABHD2,,11057.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABHD2,11057.0
CSP_48hr_50uM,1.033082,-0.02741113,0.8860583000000001,-0.03093604,0.9753206,0.9867881,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABHD4,ABHD4,,63874.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABHD4,63874.0
CSP_48hr_50uM,30.699309999999997,1.963834,0.1701426,11.54228,8.08e-31,3.6600000000000003e-29,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABHD5,ABHD5,,51099.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABHD5,51099.0
CSP_48hr_50uM,4.9423,0.2723657,0.39832140000000005,0.6837838,0.49411170000000004,0.5759179,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABHD6,ABHD6,,57406.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABHD6,57406.0
CSP_48hr_50uM,11.33615,-0.3198278,0.3052163,-1.047873,0.29469720000000005,0.3763478,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABHD8,ABHD8,,79575.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABHD8,79575.0
CSP_48hr_50uM,142.9462,1.306867,0.1847974,7.07189,1.5300000000000001e-12,1.4499999999999998e-11,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABI1,ABI1,,10006.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABI1,10006.0
CSP_48hr_50uM,14.634479999999998,-1.346122,0.34530700000000003,-3.898333,9.68572e-05,0.000295915,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABI2,ABI2,,10152.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABI2,10152.0
CSP_48hr_50uM,36.43972,-4.782292,0.4608817,-10.3764,3.18e-25,9.400000000000001e-24,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABI3BP,ABI3BP,,25890.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABI3BP,25890.0
CSP_48hr_50uM,2.082442,1.148455,0.6204647,1.850959,0.06417549,0.1019393,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABL1,ABL1,,25.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABL1,25.0
CSP_48hr_50uM,15.1997,3.761128,0.3237177,11.61854,3.32e-31,1.5599999999999998e-29,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABL2,ABL2,,27.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABL2,27.0
